time, co2(ppm), temperature(C), rel_humidity(percent)
30-08-2023 17:58:25, 1466, 22.38, 74.20
30-08-2023 17:58:30, 1466, 22.37, 74.21
30-08-2023 17:58:35, 1466, 22.40, 74.24
30-08-2023 17:58:40, 1468, 22.39, 74.21
30-08-2023 17:58:45, 1468, 22.37, 74.21
30-08-2023 17:58:50, 1468, 22.37, 74.25
30-08-2023 17:58:55, 1468, 22.39, 74.26
30-08-2023 17:59:00, 1468, 22.41, 74.26
30-08-2023 17:59:05, 1467, 22.37, 74.22
30-08-2023 17:59:10, 1469, 22.39, 74.21
30-08-2023 17:59:15, 1469, 22.39, 74.22
30-08-2023 17:59:20, 1468, 22.41, 74.29
30-08-2023 17:59:25, 1468, 22.40, 74.21
30-08-2023 17:59:30, 1468, 22.39, 74.26
30-08-2023 17:59:35, 1468, 22.40, 74.24
30-08-2023 17:59:40, 1468, 22.40, 74.24
30-08-2023 17:59:45, 1469, 22.39, 74.22
30-08-2023 17:59:50, 1468, 22.39, 74.23
30-08-2023 17:59:55, 1468, 22.38, 74.25
30-08-2023 18:00:00, 1468, 22.37, 74.21
30-08-2023 18:00:05, 1468, 22.38, 74.21
30-08-2023 18:00:10, 1469, 22.40, 74.27
30-08-2023 18:00:15, 1468, 22.36, 74.25
30-08-2023 18:00:20, 1468, 22.39, 74.21
30-08-2023 18:00:25, 1467, 22.42, 74.25
30-08-2023 18:00:30, 1468, 22.40, 74.24
30-08-2023 18:00:35, 1468, 22.39, 74.21
30-08-2023 18:00:40, 1468, 22.39, 74.22
30-08-2023 18:00:45, 1468, 22.38, 74.25
30-08-2023 18:00:50, 1467, 22.39, 74.24
30-08-2023 18:00:55, 1467, 22.40, 74.26
30-08-2023 18:01:00, 1467, 22.38, 74.26
30-08-2023 18:01:05, 1467, 22.41, 74.28
30-08-2023 18:01:10, 1468, 22.38, 74.25
30-08-2023 18:01:15, 1467, 22.40, 74.23
30-08-2023 18:01:20, 1468, 22.40, 74.24
30-08-2023 18:01:25, 1468, 22.38, 74.24
30-08-2023 18:01:30, 1468, 22.38, 74.27
30-08-2023 18:01:35, 1468, 22.39, 74.24
30-08-2023 18:01:40, 1468, 22.40, 74.28
30-08-2023 18:01:45, 1468, 22.38, 74.23
30-08-2023 18:01:50, 1468, 22.40, 74.30
30-08-2023 18:01:55, 1467, 22.39, 74.28
30-08-2023 18:02:00, 1467, 22.38, 74.27
30-08-2023 18:02:05, 1467, 22.38, 74.24
30-08-2023 18:02:10, 1467, 22.38, 74.27
30-08-2023 18:02:15, 1467, 22.39, 74.27
30-08-2023 18:02:20, 1469, 22.38, 74.26
30-08-2023 18:02:25, 1467, 22.39, 74.26
30-08-2023 18:02:30, 1467, 22.39, 74.29
30-08-2023 18:02:35, 1467, 22.37, 74.29
30-08-2023 18:02:40, 1467, 22.39, 74.30
30-08-2023 18:02:45, 1468, 22.37, 74.30
30-08-2023 18:02:50, 1468, 22.40, 74.30
30-08-2023 18:02:55, 1468, 22.38, 74.26
30-08-2023 18:03:00, 1467, 22.36, 74.21
30-08-2023 18:03:05, 1467, 22.39, 74.24
30-08-2023 18:03:10, 1466, 22.40, 74.25
30-08-2023 18:03:15, 1466, 22.39, 74.26
30-08-2023 18:03:20, 1467, 22.39, 74.27
30-08-2023 18:03:25, 1467, 22.39, 74.27
30-08-2023 18:03:30, 1468, 22.39, 74.27
30-08-2023 18:03:35, 1468, 22.40, 74.26
30-08-2023 18:03:40, 1469, 22.37, 74.25
30-08-2023 18:03:45, 1469, 22.39, 74.29
30-08-2023 18:03:50, 1468, 22.37, 74.26
30-08-2023 18:03:55, 1468, 22.39, 74.28
30-08-2023 18:04:00, 1468, 22.39, 74.23
30-08-2023 18:04:05, 1469, 22.36, 74.29
30-08-2023 18:04:10, 1470, 22.39, 74.29
30-08-2023 18:04:15, 1470, 22.39, 74.29
30-08-2023 18:04:20, 1470, 22.40, 74.27
30-08-2023 18:04:25, 1470, 22.37, 74.24
30-08-2023 18:04:30, 1471, 22.40, 74.28
30-08-2023 18:04:35, 1472, 22.39, 74.29
30-08-2023 18:04:40, 1471, 22.38, 74.28
30-08-2023 18:04:45, 1472, 22.38, 74.26
30-08-2023 18:04:50, 1474, 22.38, 74.25
30-08-2023 18:04:55, 1473, 22.36, 74.26
30-08-2023 18:05:00, 1473, 22.38, 74.28
30-08-2023 18:05:05, 1473, 22.39, 74.29
30-08-2023 18:05:10, 1474, 22.40, 74.30
30-08-2023 18:05:15, 1474, 22.37, 74.30
30-08-2023 18:05:20, 1474, 22.38, 74.30
30-08-2023 18:05:25, 1474, 22.41, 74.31
30-08-2023 18:05:30, 1474, 22.38, 74.30
30-08-2023 18:05:35, 1474, 22.40, 74.29
30-08-2023 18:05:40, 1474, 22.36, 74.28
30-08-2023 18:05:45, 1475, 22.37, 74.29
30-08-2023 18:05:50, 1475, 22.39, 74.27
30-08-2023 18:05:55, 1475, 22.40, 74.26
30-08-2023 18:06:00, 1477, 22.38, 74.28
30-08-2023 18:06:05, 1477, 22.38, 74.30
30-08-2023 18:06:10, 1477, 22.38, 74.27
30-08-2023 18:06:15, 1477, 22.39, 74.29
30-08-2023 18:06:20, 1477, 22.37, 74.27
30-08-2023 18:06:25, 1477, 22.40, 74.33
30-08-2023 18:06:30, 1477, 22.38, 74.26
30-08-2023 18:06:35, 1477, 22.39, 74.33
30-08-2023 18:06:40, 1478, 22.37, 74.28
30-08-2023 18:06:45, 1478, 22.37, 74.26
30-08-2023 18:06:51, 1478, 22.36, 74.28
30-08-2023 18:06:56, 1477, 22.38, 74.31
30-08-2023 18:07:01, 1477, 22.38, 74.28
30-08-2023 18:07:06, 1477, 22.38, 74.33
30-08-2023 18:07:11, 1476, 22.39, 74.27
30-08-2023 18:07:16, 1477, 22.38, 74.29
30-08-2023 18:07:21, 1477, 22.39, 74.30
30-08-2023 18:07:26, 1477, 22.39, 74.28
30-08-2023 18:07:31, 1477, 22.39, 74.30
30-08-2023 18:07:36, 1477, 22.38, 74.28
30-08-2023 18:07:41, 1477, 22.40, 74.30
30-08-2023 18:07:46, 1477, 22.39, 74.31
30-08-2023 18:07:51, 1478, 22.39, 74.30
30-08-2023 18:07:56, 1478, 22.38, 74.28
30-08-2023 18:08:01, 1478, 22.41, 74.31
30-08-2023 18:08:06, 1478, 22.38, 74.25
30-08-2023 18:08:11, 1478, 22.38, 74.28
30-08-2023 18:08:16, 1480, 22.39, 74.32
30-08-2023 18:08:21, 1481, 22.38, 74.30
30-08-2023 18:08:26, 1481, 22.38, 74.32
30-08-2023 18:08:31, 1482, 22.39, 74.30
30-08-2023 18:08:36, 1482, 22.38, 74.25
30-08-2023 18:08:41, 1482, 22.39, 74.31
30-08-2023 18:08:46, 1482, 22.40, 74.30
30-08-2023 18:08:51, 1483, 22.38, 74.26
30-08-2023 18:08:56, 1482, 22.36, 74.25
30-08-2023 18:09:01, 1482, 22.39, 74.27
30-08-2023 18:09:06, 1481, 22.38, 74.28
30-08-2023 18:09:11, 1481, 22.38, 74.29
30-08-2023 18:09:16, 1480, 22.39, 74.29
30-08-2023 18:09:21, 1480, 22.41, 74.31
30-08-2023 18:09:26, 1480, 22.38, 74.32
30-08-2023 18:09:31, 1480, 22.39, 74.28
30-08-2023 18:09:36, 1480, 22.38, 74.28
30-08-2023 18:09:41, 1480, 22.39, 74.30
30-08-2023 18:09:46, 1480, 22.39, 74.30
30-08-2023 18:09:51, 1481, 22.40, 74.31
30-08-2023 18:09:56, 1481, 22.38, 74.31
30-08-2023 18:10:01, 1481, 22.39, 74.30
30-08-2023 18:10:06, 1481, 22.38, 74.33
30-08-2023 18:10:11, 1481, 22.38, 74.29
30-08-2023 18:10:16, 1481, 22.38, 74.30
30-08-2023 18:10:21, 1480, 22.39, 74.29
30-08-2023 18:10:26, 1480, 22.38, 74.27
30-08-2023 18:10:31, 1481, 22.39, 74.31
30-08-2023 18:10:36, 1481, 22.38, 74.32
30-08-2023 18:10:41, 1481, 22.36, 74.31
30-08-2023 18:10:46, 1481, 22.36, 74.28
30-08-2023 18:10:51, 1481, 22.39, 74.33
30-08-2023 18:10:56, 1481, 22.37, 74.33
30-08-2023 18:11:01, 1480, 22.39, 74.35
30-08-2023 18:11:06, 1481, 22.40, 74.32
30-08-2023 18:11:11, 1481, 22.40, 74.33
30-08-2023 18:11:16, 1482, 22.38, 74.33
30-08-2023 18:11:21, 1482, 22.39, 74.30
30-08-2023 18:11:26, 1482, 22.38, 74.31
30-08-2023 18:11:31, 1481, 22.40, 74.34
30-08-2023 18:11:36, 1481, 22.38, 74.34
30-08-2023 18:11:41, 1481, 22.38, 74.31
30-08-2023 18:11:46, 1482, 22.38, 74.32
30-08-2023 18:11:51, 1481, 22.38, 74.34
30-08-2023 18:11:56, 1481, 22.37, 74.31
30-08-2023 18:12:01, 1481, 22.37, 74.31
30-08-2023 18:12:06, 1482, 22.39, 74.33
30-08-2023 18:12:11, 1482, 22.39, 74.31
30-08-2023 18:12:16, 1481, 22.40, 74.31
30-08-2023 18:12:21, 1482, 22.38, 74.33
30-08-2023 18:12:26, 1482, 22.38, 74.32
30-08-2023 18:12:31, 1483, 22.37, 74.33
30-08-2023 18:12:36, 1482, 22.38, 74.33
30-08-2023 18:12:41, 1482, 22.38, 74.31
30-08-2023 18:12:46, 1482, 22.38, 74.36
