time, co2(ppm), temperature(°C), rel_humidity(percent)
2023/09/07 18:34:09, 1021, 23.18, 87.86
2023/09/07 18:34:14, 1022, 23.17, 87.94
2023/09/07 18:34:19, 1024, 23.19, 87.88
2023/09/07 18:34:24, 1025, 23.18, 87.90
2023/09/07 18:34:29, 1024, 23.21, 87.95
2023/09/07 18:34:34, 1024, 23.18, 87.91
2023/09/07 18:34:39, 1025, 23.18, 87.91
2023/09/07 18:34:44, 1028, 23.19, 87.88
2023/09/07 18:34:49, 1029, 23.19, 87.92
2023/09/07 18:34:54, 1030, 23.19, 87.88
2023/09/07 18:34:59, 1032, 23.20, 87.89
2023/09/07 18:35:04, 1031, 23.19, 87.88
2023/09/07 18:35:09, 1031, 23.19, 87.88
2023/09/07 18:35:14, 1033, 23.21, 87.90
2023/09/07 18:35:19, 1035, 23.21, 87.93
2023/09/07 18:35:24, 1032, 23.18, 87.89
2023/09/07 18:35:29, 1032, 23.18, 87.87
2023/09/07 18:35:34, 1033, 23.18, 87.89
2023/09/07 18:35:39, 1033, 23.20, 87.88
2023/09/07 18:35:44, 1032, 23.20, 87.83
2023/09/07 18:35:49, 1032, 23.18, 87.91
2023/09/07 18:35:54, 1034, 23.19, 87.87
2023/09/07 18:35:59, 1035, 23.19, 87.88
2023/09/07 18:36:04, 1035, 23.18, 87.85
2023/09/07 18:36:09, 1034, 23.19, 87.86
2023/09/07 18:36:14, 1035, 23.17, 87.83
2023/09/07 18:36:19, 1035, 23.19, 87.89
2023/09/07 18:36:24, 1035, 23.18, 87.85
2023/09/07 18:36:29, 1035, 23.18, 87.83
2023/09/07 18:36:34, 1036, 23.18, 87.88
2023/09/07 18:36:39, 1038, 23.18, 87.88
2023/09/07 18:36:44, 1054, 23.19, 87.84
2023/09/07 18:36:49, 1053, 23.19, 87.86
2023/09/07 18:36:54, 1052, 23.19, 87.84
2023/09/07 18:36:59, 1052, 23.21, 87.87
2023/09/07 18:37:04, 1054, 23.19, 87.87
2023/09/07 18:37:09, 1053, 23.20, 87.86
2023/09/07 18:37:14, 1053, 23.19, 87.86
2023/09/07 18:37:19, 1053, 23.20, 87.85
2023/09/07 18:37:24, 1053, 23.19, 87.85
2023/09/07 18:37:29, 1054, 23.19, 87.88
2023/09/07 18:37:34, 1053, 23.17, 87.85
2023/09/07 18:37:39, 1052, 23.20, 87.84
2023/09/07 18:37:44, 1052, 23.21, 87.82
2023/09/07 18:37:49, 1052, 23.18, 87.83
2023/09/07 18:37:54, 1053, 23.17, 87.82
2023/09/07 18:37:59, 1053, 23.20, 87.83
2023/09/07 18:38:04, 1054, 23.20, 87.82
2023/09/07 18:38:09, 1054, 23.18, 87.81
