time,co2(ppm),temperature(°C),rel_humidity(percent)
2023-08-30 18:01:10,1468,22.38,74.25
2023-08-30 18:01:15,1467,22.4,74.23
2023-08-30 18:01:20,1468,22.4,74.24
2023-08-30 18:01:25,1468,22.38,74.24
2023-08-30 18:01:30,1468,22.38,74.27
2023-08-30 18:01:35,1468,22.39,74.24
2023-08-30 18:01:40,1468,22.4,74.28
2023-08-30 18:01:45,1468,22.38,74.23
2023-08-30 18:01:50,1468,22.4,74.3
2023-08-30 18:01:55,1467,22.39,74.28
2023-08-30 18:02:00,1467,22.38,74.27
2023-08-30 18:02:05,1467,22.38,74.24
2023-08-30 18:02:10,1467,22.38,74.27
2023-08-30 18:02:15,1467,22.39,74.27
2023-08-30 18:02:20,1469,22.38,74.26
2023-08-30 18:02:25,1467,22.39,74.26
2023-08-30 18:02:30,1467,22.39,74.29
2023-08-30 18:02:35,1467,22.37,74.29
2023-08-30 18:02:40,1467,22.39,74.3
2023-08-30 18:02:45,1468,22.37,74.3
2023-08-30 18:02:50,1468,22.4,74.3
2023-08-30 18:02:55,1468,22.38,74.26
2023-08-30 18:03:00,1467,22.36,74.21
2023-08-30 18:03:05,1467,22.39,74.24
2023-08-30 18:03:10,1466,22.4,74.25
2023-08-30 18:03:15,1466,22.39,74.26
2023-08-30 18:03:20,1467,22.39,74.27
2023-08-30 18:03:25,1467,22.39,74.27
2023-08-30 18:03:30,1468,22.39,74.27
2023-08-30 18:03:35,1468,22.4,74.26
2023-08-30 18:03:40,1469,22.37,74.25
2023-08-30 18:03:45,1469,22.39,74.29
2023-08-30 18:03:50,1468,22.37,74.26
2023-08-30 18:03:55,1468,22.39,74.28
2023-08-30 18:04:00,1468,22.39,74.23
2023-08-30 18:04:05,1469,22.36,74.29
2023-08-30 18:04:10,1470,22.39,74.29
2023-08-30 18:04:15,1470,22.39,74.29
2023-08-30 18:04:20,1470,22.4,74.27
2023-08-30 18:04:25,1470,22.37,74.24
2023-08-30 18:04:30,1471,22.4,74.28
2023-08-30 18:04:35,1472,22.39,74.29
