time, co2(ppm), temperature(°C), rel_humidity(percent)
2023-09-08 17:41:35, 1032, 23.41, 81.53
2023-09-08 17:41:40, 1032, 23.40, 81.48
2023-09-08 17:41:45, 1032, 23.42, 81.48
2023-09-08 17:41:50, 1032, 23.41, 81.47
2023-09-08 17:41:55, 1033, 23.42, 81.52
2023-09-08 17:42:00, 1033, 23.42, 81.50
2023-09-08 17:42:05, 1034, 23.41, 81.57
2023-09-08 17:42:10, 1034, 23.43, 81.50
2023-09-08 17:42:15, 1035, 23.43, 81.52
2023-09-08 17:42:20, 1035, 23.41, 81.51
2023-09-08 17:42:25, 1037, 23.43, 81.51
2023-09-08 17:42:30, 1036, 23.39, 81.51
2023-09-08 17:42:35, 1037, 23.43, 81.52
2023-09-08 17:42:40, 1036, 23.42, 81.56
2023-09-08 17:42:45, 1037, 23.43, 81.50
2023-09-08 17:42:50, 1036, 23.40, 81.54
2023-09-08 17:42:55, 1036, 23.42, 81.54
2023-09-08 17:43:00, 1037, 23.42, 81.54
2023-09-08 17:43:05, 1039, 23.43, 81.53
2023-09-08 17:43:10, 1039, 23.42, 81.50
2023-09-08 17:43:15, 1040, 23.43, 81.54
2023-09-08 17:43:20, 1040, 23.43, 81.54
2023-09-08 17:43:25, 1040, 23.42, 81.56
2023-09-08 17:43:30, 1041, 23.42, 81.52
2023-09-08 17:43:35, 1040, 23.40, 81.50
2023-09-08 17:43:40, 1041, 23.43, 81.52
2023-09-08 17:43:45, 1040, 23.43, 81.54
2023-09-08 17:43:50, 1041, 23.42, 81.57
2023-09-08 17:43:55, 1041, 23.40, 81.51
2023-09-08 17:44:00, 1041, 23.40, 81.50
2023-09-08 17:44:05, 1040, 23.42, 81.54
2023-09-08 17:44:10, 1042, 23.42, 81.56
2023-09-08 17:44:15, 1042, 23.40, 81.53
2023-09-08 17:44:20, 1042, 23.41, 81.55
2023-09-08 17:44:25, 1042, 23.41, 81.58
2023-09-08 17:44:30, 1042, 23.41, 81.56
2023-09-08 17:44:35, 1042, 23.40, 81.57
2023-09-08 17:44:40, 1042, 23.42, 81.59
2023-09-08 17:44:45, 1042, 23.42, 81.56
2023-09-08 17:44:50, 1042, 23.43, 81.58
2023-09-08 17:44:55, 1041, 23.41, 81.54
2023-09-08 17:45:00, 1042, 23.41, 81.60
2023-09-08 17:45:05, 1042, 23.41, 81.55
2023-09-08 17:45:10, 1041, 23.41, 81.54
2023-09-08 17:45:15, 1042, 23.41, 81.57
2023-09-08 17:45:20, 1043, 23.41, 81.55
2023-09-08 17:45:25, 1044, 23.42, 81.59
2023-09-08 17:45:30, 1045, 23.41, 81.55
2023-09-08 17:45:35, 1044, 23.41, 81.57
2023-09-08 17:45:40, 1044, 23.43, 81.57
2023-09-08 17:45:45, 1045, 23.38, 81.56
2023-09-08 17:45:50, 1045, 23.41, 81.60
2023-09-08 17:45:55, 1045, 23.42, 81.55
2023-09-08 17:46:00, 1044, 23.42, 81.56
2023-09-08 17:46:05, 1045, 23.41, 81.59
2023-09-08 17:46:10, 1045, 23.43, 81.60
2023-09-08 17:46:15, 1045, 23.42, 81.59
2023-09-08 17:46:20, 1046, 23.42, 81.61
2023-09-08 17:46:25, 1046, 23.40, 81.58
2023-09-08 17:46:30, 1045, 23.42, 81.63
2023-09-08 17:46:35, 1046, 23.42, 81.60
2023-09-08 17:46:40, 1046, 23.41, 81.61
2023-09-08 17:46:45, 1047, 23.41, 81.55
2023-09-08 17:46:50, 1048, 23.40, 81.60
2023-09-08 17:46:55, 1048, 23.43, 81.60
2023-09-08 17:47:00, 1050, 23.41, 81.57
2023-09-08 17:47:05, 1049, 23.42, 81.57
2023-09-08 17:47:10, 1049, 23.41, 81.60
2023-09-08 17:47:15, 1050, 23.41, 81.62
2023-09-08 17:47:20, 1050, 23.43, 81.64
2023-09-08 17:47:25, 1050, 23.42, 81.61
2023-09-08 17:47:30, 1052, 23.43, 81.63
2023-09-08 17:47:35, 1051, 23.42, 81.60
2023-09-08 17:47:40, 1051, 23.42, 81.63
2023-09-08 17:47:45, 1052, 23.42, 81.60
2023-09-08 17:47:50, 1052, 23.42, 81.63
2023-09-08 17:47:55, 1052, 23.41, 81.61
2023-09-08 17:48:00, 1051, 23.41, 81.61
2023-09-08 17:48:05, 1051, 23.40, 81.58
2023-09-08 17:48:10, 1052, 23.42, 81.64
2023-09-08 17:48:15, 1053, 23.43, 81.65
2023-09-08 17:48:20, 1053, 23.41, 81.63
2023-09-08 17:48:25, 1053, 23.41, 81.59
2023-09-08 17:48:30, 1053, 23.42, 81.58
2023-09-08 17:48:35, 1053, 23.41, 81.61
2023-09-08 17:48:40, 1054, 23.41, 81.60
2023-09-08 17:48:45, 1054, 23.42, 81.65
2023-09-08 17:48:50, 1055, 23.41, 81.60
2023-09-08 17:48:55, 1057, 23.41, 81.66
2023-09-08 17:49:00, 1057, 23.39, 81.65
2023-09-08 17:49:05, 1057, 23.42, 81.64
2023-09-08 17:49:10, 1057, 23.41, 81.62
2023-09-08 17:49:15, 1058, 23.41, 81.63
2023-09-08 17:49:20, 1060, 23.41, 81.62
2023-09-08 17:49:25, 1060, 23.42, 81.66
2023-09-08 17:49:30, 1061, 23.41, 81.63
2023-09-08 17:49:35, 1061, 23.42, 81.65
2023-09-08 17:49:40, 1061, 23.42, 81.66
2023-09-08 17:49:45, 1061, 23.40, 81.64
2023-09-08 17:49:50, 1060, 23.41, 81.66
2023-09-08 17:49:55, 1059, 23.41, 81.61
2023-09-08 17:50:00, 1059, 23.42, 81.64
2023-09-08 17:50:05, 1059, 23.43, 81.70
2023-09-08 17:50:10, 1058, 23.43, 81.65
2023-09-08 17:50:15, 1059, 23.43, 81.65
2023-09-08 17:50:20, 1060, 23.41, 81.64
2023-09-08 17:50:25, 1060, 23.42, 81.66
2023-09-08 17:50:30, 1060, 23.43, 81.66
2023-09-08 17:50:35, 1060, 23.42, 81.68
2023-09-08 17:50:40, 1060, 23.41, 81.67
2023-09-08 17:50:45, 1060, 23.43, 81.65
2023-09-08 17:50:50, 1061, 23.42, 81.69
2023-09-08 17:50:55, 1062, 23.41, 81.68
2023-09-08 17:51:00, 1062, 23.41, 81.68
2023-09-08 17:51:05, 1061, 23.42, 81.67
2023-09-08 17:51:10, 1063, 23.40, 81.68
2023-09-08 17:51:15, 1063, 23.41, 81.66
2023-09-08 17:51:20, 1064, 23.41, 81.69
2023-09-08 17:51:25, 1064, 23.41, 81.67
2023-09-08 17:51:30, 1064, 23.42, 81.67
2023-09-08 17:51:35, 1065, 23.44, 81.68
2023-09-08 17:51:40, 1065, 23.42, 81.67
2023-09-08 17:51:45, 1066, 23.42, 81.70
2023-09-08 17:51:50, 1066, 23.42, 81.74
2023-09-08 17:51:55, 1066, 23.42, 81.72
2023-09-08 17:52:00, 1067, 23.41, 81.70
2023-09-08 17:52:05, 1066, 23.42, 81.69
2023-09-08 17:52:10, 1065, 23.41, 81.69
2023-09-08 17:52:15, 1066, 23.42, 81.74
2023-09-08 17:52:20, 1066, 23.44, 81.73
2023-09-08 17:52:25, 1067, 23.42, 81.68
2023-09-08 17:52:30, 1068, 23.43, 81.72
2023-09-08 17:52:35, 1068, 23.42, 81.70
2023-09-08 17:52:40, 1068, 23.42, 81.73
2023-09-08 17:52:45, 1068, 23.41, 81.69
2023-09-08 17:52:50, 1068, 23.42, 81.70
2023-09-08 17:52:55, 1068, 23.41, 81.68
2023-09-08 17:53:00, 1069, 23.42, 81.74
2023-09-08 17:53:05, 1070, 23.40, 81.74
2023-09-08 17:53:10, 1070, 23.43, 81.70
2023-09-08 17:53:15, 1069, 23.42, 81.74
2023-09-08 17:53:20, 1070, 23.42, 81.74
2023-09-08 17:53:25, 1071, 23.42, 81.70
2023-09-08 17:53:30, 1072, 23.42, 81.75
2023-09-08 17:53:35, 1072, 23.45, 81.74
2023-09-08 17:53:40, 1072, 23.41, 81.75
2023-09-08 17:53:45, 1072, 23.42, 81.74
2023-09-08 17:53:50, 1073, 23.43, 81.74
2023-09-08 17:53:55, 1073, 23.41, 81.75
2023-09-08 17:54:00, 1072, 23.43, 81.76
2023-09-08 17:54:05, 1072, 23.42, 81.74
2023-09-08 17:54:10, 1072, 23.42, 81.77
2023-09-08 17:54:15, 1072, 23.40, 81.73
2023-09-08 17:54:20, 1073, 23.42, 81.68
2023-09-08 17:54:25, 1074, 23.44, 81.74
2023-09-08 17:54:30, 1075, 23.39, 81.71
2023-09-08 17:54:35, 1075, 23.42, 81.73
2023-09-08 17:54:40, 1075, 23.41, 81.72
2023-09-08 17:54:45, 1075, 23.43, 81.76
2023-09-08 17:54:50, 1075, 23.44, 81.76
2023-09-08 17:54:55, 1075, 23.43, 81.76
2023-09-08 17:55:00, 1075, 23.42, 81.76
2023-09-08 17:55:05, 1075, 23.43, 81.76
2023-09-08 17:55:10, 1075, 23.44, 81.75
2023-09-08 17:55:15, 1076, 23.42, 81.70
2023-09-08 17:55:20, 1075, 23.44, 81.78
2023-09-08 17:55:25, 1076, 23.41, 81.74
2023-09-08 17:55:30, 1076, 23.40, 81.74
2023-09-08 17:55:35, 1076, 23.43, 81.74
2023-09-08 17:55:40, 1076, 23.43, 81.79
2023-09-08 17:55:45, 1077, 23.44, 81.79
2023-09-08 17:55:50, 1076, 23.40, 81.75
2023-09-08 17:55:56, 1077, 23.43, 81.76
2023-09-08 17:56:01, 1078, 23.43, 81.76
2023-09-08 17:56:06, 1077, 23.44, 81.76
2023-09-08 17:56:11, 1077, 23.41, 81.77
2023-09-08 17:56:16, 1077, 23.41, 81.80
2023-09-08 17:56:21, 1077, 23.43, 81.77
2023-09-08 17:56:26, 1078, 23.42, 81.78
2023-09-08 17:56:31, 1078, 23.41, 81.75
2023-09-08 17:56:36, 1079, 23.41, 81.79
2023-09-08 17:56:41, 1079, 23.41, 81.78
2023-09-08 17:56:46, 1079, 23.44, 81.80
2023-09-08 17:56:51, 1080, 23.44, 81.80
2023-09-08 17:56:56, 1080, 23.43, 81.82
2023-09-08 17:57:01, 1080, 23.41, 81.79
2023-09-08 17:57:06, 1081, 23.41, 81.77
2023-09-08 17:57:11, 1081, 23.42, 81.78
2023-09-08 17:57:16, 1082, 23.42, 81.77
2023-09-08 17:57:21, 1082, 23.40, 81.83
2023-09-08 17:57:26, 1082, 23.42, 81.82
2023-09-08 17:57:31, 1083, 23.43, 81.77
2023-09-08 17:57:36, 1082, 23.44, 81.82
2023-09-08 17:57:41, 1082, 23.43, 81.81
2023-09-08 17:57:46, 1081, 23.42, 81.81
2023-09-08 17:57:51, 1082, 23.43, 81.82
2023-09-08 17:57:56, 1082, 23.42, 81.81
2023-09-08 17:58:01, 1083, 23.43, 81.78
2023-09-08 17:58:06, 1083, 23.42, 81.80
2023-09-08 17:58:11, 1083, 23.42, 81.83
2023-09-08 17:58:16, 1086, 23.44, 81.85
2023-09-08 17:58:21, 1086, 23.43, 81.80
2023-09-08 17:58:26, 1086, 23.44, 81.81
2023-09-08 17:58:31, 1087, 23.42, 81.80
2023-09-08 17:58:36, 1088, 23.43, 81.79
2023-09-08 17:58:41, 1087, 23.42, 81.83
2023-09-08 17:58:46, 1087, 23.42, 81.81
2023-09-08 17:58:51, 1087, 23.42, 81.81
2023-09-08 17:58:56, 1088, 23.43, 81.84
